Clause_Number,Category,Confidence,Risk_Score,Clause_Text
187,Termination,0.429,3,"•   Withdrawals from your Contract are taxed at ordinary income tax rates, and may be subject to
a tax penalty before age 59 1⁄2"
188,Indemnification,0.407,3,"For more detailed information, see “Summary of Principal Risks of Investing in the Contract –
Taxes and Tax Risks;” “How Is the Contract Treated Under Federal Income Tax Law?”
 
 
10
 
CONFLICTS OF INTEREST
 
 
 
Investment
Professional
Compensation
  
Your financial professional may receive compensation for selling this Contract to you, in the form
of commissions, asset-based compensation, allowances for expenses, and other compensation
programs, and the Company may share the revenue it earns on this Contract with the
professional’s firm"
189,Indemnification,0.392,3,"(Your financial professional may be your broker, investment adviser, insurance
agent, or someone else"
190,Indemnification,0.316,3,")
 
For these reasons, these financial professionals may have a financial incentive to recommend this
Contract over another annuity contract or investment"
191,Payment Terms,0.181,2,"For more detailed information, see “Distribution Arrangements"
192,Warranty,0.294,2,"”
 
 
 
Exchanges
  
Some financial professionals may have a financial incentive to offer you a new contract in place of
the one you own"
193,Warranty,0.289,2,"You should only exchange your contract if you determine, after comparing the
features, fees, and risks of both contracts, that it is preferable for you to purchase the new
contract rather than continue to own your existing contract"
194,Termination,0.206,3,"For more detailed information, see “How Do I Purchase the Contract? – Tax Free ‘Section  1035’
Insurance Contract Exchanges"
195,Warranty,0.429,2,"”
 
 
11
 
OVERVIEW OF THE DEFERRED VARIABLE ANNUITY CONTRACT
The following provides an overview of the Deferred Variable Annuity Contract’s primary features"
196,Governing Law,0.457,1,"Please
read the full descriptions in the rest of this Summary Prospectus, the Prospectus, and your Contract, for more
information regarding these features and other provisions of the Contract"
197,Indemnification,0.491,3,"Purpose of the Contract
The Contract is designed to accumulate Contract Value and to provide income over a certain period of time
or for life subject to certain conditions"
198,Termination,0.279,3,"The Contract can supplement your retirement income by providing a stream of
income payments during the Annuity Payout Period"
199,Termination,0.389,3,"The benefits offered under the Contract may be a variable or fixed
amount, if available, or a combination of both"
200,Indemnification,0.729,3,"The Contract also offers a death benefit payable to your designated
Beneficiaries upon the death of the Contract Owner or Annuitant"
201,Warranty,0.484,2,This Contract may be appropriate if you have a long investment time horizon
202,Warranty,0.355,2,"It is not intended for people
who may need to make early or frequent withdrawals or intend to engage in frequent trading in the Variable Investment
Options"
203,Termination,0.278,3,"Phases of the Contract
Your Contract has two phases: (1) an accumulation (savings) phase called the Accumulation Period, prior to
the Annuity Date; and (2) a payout (income) phase called the Annuity Payout Period, after the Annuity Date"
204,Warranty,0.654,2,"Accumulation (Savings) Period
To help you accumulate assets during the Accumulation Period, you can invest your payments and earnings
in different Investment Options as follows:
 
 
•
  The Contract allows you to allocate your Contract Value among the different Variable Investment
Options which each invest in a specified mutual fund portfolio (each, a “Portfolio”)"
205,Warranty,0.552,2,"Your Contract
Value will increase or decrease to reflect the investment performance of the Portfolios you select;
you bear the investment risk and you can lose money invested in the Portfolios"
206,Warranty,0.37,2,"Appendix A to this
Summary Prospectus lists the Portfolios currently available in the Contract and includes
additional information about the Portfolios"
207,Warranty,0.863,2,"•
  In addition to the Variable Investment Options, the Contract allows you to allocate your Contract
Value to the Fixed Account Options"
208,Warranty,0.681,2,"The Fixed Account Options are the Short-Term Fixed Account
and the Fixed Dollar Cost Averaging Options"
209,Warranty,0.467,2,"The optional benefits do not permit you to invest in the
Short-Term Fixed Account"
210,Warranty,0.706,2,"The Fixed Account Options are designed to be safe investments that
provide fixed returns, where the Company pays a fixed rate of interest (that it declares periodically,
subject to a minimum) and where the Company bears the investment risk"
211,Warranty,0.538,2,"The Fixed Account
Options are described in Appendix B to the Prospectus"
212,Warranty,0.51,2,"•
  You can change the Investment Options in which you invest throughout the Accumulation Period"
213,Warranty,0.4,2,"Annuity (Income) Payout Period
You can elect to annuitize your Contract and turn your Contract Value into a stream of income payments
(called annuity payments), at which time the Accumulation Period of the Contract ends"
214,Termination,0.299,3,"These payments may continue
for a fixed period of years, for your entire life, or for the longer of a fixed period or your life"
215,Warranty,0.536,2,"If you annuitize, your
investments will be converted to income payments and you may no longer be able to choose to make withdrawals from
your Contract (depending on which Annuity option you select)"
216,Intellectual Property,0.263,1,"All benefits (including death benefits and optional
benefits) terminate upon Annuitization"
217,Warranty,0.371,2,"However, several optional benefit Riders offered under the Contract provide guaranteed payments during
the accumulation phase that may last for life, and still allow you to make withdrawals and be eligible for a death benefit"
218,Warranty,0.267,2,"Withdrawals that exceed specified limits under an optional benefit will reduce and could eliminate the income payments
and other benefits of the optional benefit, including access to a death benefit"
219,Termination,0.403,3,"Contract Features
Base Contract
The Contract has a seven year Surrender Charge Period (based on each Purchase Payment) and a
Contract expense charge of 1"
220,Intellectual Property,0.463,1,40 of the Variable Investment Options on an annual basis
221,Warranty,0.82,2,"Transfers
Within limitations, you may transfer Contract Value from one Variable Investment Option to another and
between the Short-Term Fixed Account and the Variable Investment Options"
222,Warranty,0.681,2,"In addition, the Contract offers two
automated transfer programs — a dollar cost averaging program and an asset rebalancing program"
223,Warranty,0.881,2,"You can elect to
have your account value automatically rebalanced at no additional charge"
224,Warranty,0.951,2,"We offer rebalancing programs that you can
use to automatically reallocate your account value among your Variable Investment Options"
225,Warranty,0.542,2,"You can also elect to
allocate your investments using a dollar cost averaging program at no additional charge"
226,Confidentiality,0.323,1,"You may not elect both a
dollar cost averaging program and a rebalancing program"
227,Warranty,0.619,2,"Contract Value
The Contract Value includes the amount in the Variable Investment Options and the Fixed Account Options"
228,Warranty,0.724,2,"The value of your Contract will increase or decrease based upon the investment performance of the Variable
Investment Options you choose, your Purchase Payments, interest credited to the Fixed Account Options, any partial
withdrawals, and the charges we deduct"
229,Warranty,0.478,2,"Surrenders and Withdrawals
During the Accumulation Period you can surrender the Contract or withdraw part of the Contract Value"
230,Warranty,0.249,2,"However, the Contract is generally not a liquid investment"
231,Termination,0.288,3,"If you withdraw early, a Surrender Charge and federal and
state taxes may apply and/or you may incur a tax penalty if you are younger than 59 1⁄2"
232,Warranty,0.285,2,"Withdrawals, including
Required Minimum Distributions (“RMDs”), could significantly reduce the standard death benefit in addition to the
guaranteed benefits, and the amount of the reduction may be greater than the dollar amount of the withdrawal and
could terminate the guaranteed benefits"
233,Termination,0.42,3,"Free Look Period: “Right to Cancel”
If you are a new purchaser of a Contract, you may cancel your Contract within 10 days of receiving it without
paying fees or penalties"
234,Termination,0.411,3,"In some states, this “Free Look” or cancellation period may be longer"
235,Termination,0.344,3,"If you cancel your
Contract, in most states you will receive your Contract value and any fees or charges deducted"
236,Warranty,0.389,2,"In some states, you
will receive a full refund of the amount of any Purchase Payments you have paid, if greater than Contract value"
237,Indemnification,0.561,3,"To
cancel your Contract, simply deliver or mail the Contract to our office or to the financial professional who delivered the
Contract to you"
238,Indemnification,0.56,3,"Death Benefit
Your Contract includes a death benefit that will be paid upon the death of either the Contract Owner or the
Annuitant"
239,Indemnification,0.478,3,"On the death of the Annuitant, the death benefit will be equal to the greater of Contract Value or Purchase
Payments less adjusted withdrawals"
240,Indemnification,0.597,3,"On the death of the Contract Owner who is not the Annuitant, the death benefit
will be equal to the Contract Value"
241,Warranty,0.38,2,"Optional Benefit Riders
You may purchase certain available optional benefits for an additional fee:
 
 
•
  Enhanced Death Benefit Rider – offers a Death Benefit Enhancement;
 
 
•
  Accumulation Income Rider — provides for guaranteed Lifetime Withdrawals under the terms of the
Rider;
 
 
•
  Guaranteed Income Rider — provides for living benefit Withdrawals under the terms of the Rider;
and
 
 
•
  Guaranteed Minimum Accumulation Rider — provides for a return of a minimum value at the end of
the Accumulation Benefit Period"
242,Warranty,0.397,2,"13
These optional benefit Riders provide different methods to take income from your Contract Value or receive
lifetime payments and provide certain guarantees, regardless of the investment performance of the Contract"
243,Governing Law,0.447,1,"These
guarantees are subject to certain conditions, as set forth elsewhere in this Summary Prospectus and the Prospectus"
244,Confidentiality,0.289,1,"Withdrawals that exceed specified limitations under certain Riders may result in a reduction or premature
termination of those benefits or of those Riders"
245,Warranty,0.429,2,"Withdrawals under the Riders, including Guaranteed Annual
Withdrawal Amounts, are subject to the surrender charge rules"
246,Indemnification,0.474,3,"Therefore, a surrender charge may apply to such
withdrawals"
247,Termination,0.446,3,"Withdrawals, including RMDs, could significantly reduce the values under the Riders, perhaps by more than
the amount of the withdrawal, and could terminate the Riders and the Contract"
248,Warranty,0.311,2,"The Guaranteed Income Rider and Accumulation Income Rider provide a contingent guarantee that may never
come into effect because withdrawals taken while Contract Value is greater than zero are withdrawals of the Contract
Owner’s own money, and the Company is only required to make guaranteed payments from its general account if and
when the Contract Value is reduced to zero"
249,Warranty,0.461,2,"The Guaranteed Minimum Accumulation Rider provides a guarantee that may never come into effect because
Contract Value may never be less than the Guaranteed Minimum Accumulation Benefit Amount, and the possibility that
the Company will be required to pay the Guaranteed Minimum Accumulation Benefit Amount may be minimal"
250,Warranty,0.558,2,"While the Guaranteed Minimum Accumulation Rider provides a guarantee that is designed to provide a minimum
Contract Value, additional Purchase Payments made after the first 12 months of the Accumulation Benefit Period will
not be included in the Accumulation Benefit Base"
251,Warranty,0.395,2,"Any additional Purchase Payments made after the first 12 months
will increase the Contract Value but not the Accumulation Benefit Base and may reduce the likelihood of receiving the
benefit provided by the Guaranteed Minimum Accumulation Rider"
252,Termination,0.335,3,"Subsequent Purchase Payments are not permitted during the Withdrawal Phase of the Accumulation Income
Rider, which means that the Purchase Payments cannot be used at that time to increase Contract Value, the death
benefit or the Accumulation Income Benefit Base"
253,Warranty,0.362,2,"If you select an optional benefit Rider, you are not permitted to invest in the Short-Term Fixed Account"
254,Warranty,0.275,2,"In the
future we may change this restriction or add new ones relating to other Investment Options"
255,Warranty,0.272,2,"Taxes
You can transfer money between Investment Options without tax implications, and earnings (if any) on your
investments are generally tax-deferred"
256,Indemnification,0.355,3,"You are taxed only: (1) when you make a surrender or withdrawal; (2) when
you receive an income payment from the Contract; or (3) upon payment of a death benefit"
257,Confidentiality,0.25,1,"That means Contract
Owners enjoy tax-deferred growth, which provides greater earnings potential as compared to a fully taxable
investment"
258,Termination,0.302,3,"BENEFITS AVAILABLE UNDER THE DEFERRED VARIABLE ANNUITY CONTRACT
The following table summarizes information about the benefits available under the Contract:
 
 
 
 
 
 
Name of Benefit
  
Purpose
  
Is Benefit
Standard or    
Optional
  
Maximum
Fee
  
Brief Description of
Restrictions/Limitations
Standard Death
Benefit
  
Guarantees Beneficiaries will
receive a benefit at least equal to
your Purchase Payments less
adjusted withdrawals
  
Standard
  
No
additional
charge
  
•   Withdrawals could
significantly reduce
benefit
 
 
 
 
 
Enhanced Death
Benefit Rider
  
Provides an enhanced Death
Benefit by locking in market
gains on each Contract
Anniversary until age 80
  
Optional
  
0"
259,Warranty,0.294,2,"75% (as a
percentage
of the
benefit
base)
  
•   Available only at Contract
purchase
 
•   Withdrawals, including
RMDs, could significantly
reduce (perhaps by more
than the amount of the
withdrawal) or terminate
benefit or Contract
 
•   You may not allocate to
the Short-Term Fixed
Account
 
 
 
 
 
Accumulation
Income Rider
  
Provides lifetime income as a
percent of the Accumulation
Income Benefit Base which
periodically locks in market gains
by the use of Automatic
Step-Ups until the Maximum
Step-Up Age
  
Optional
  
2"
260,Warranty,0.364,2,"50% (as a
percentage
of the
benefit
base)
  
•   Available only at Contract
purchase
 
•   Withdrawals, including
RMDs, could significantly
reduce (perhaps by more
than the amount of the
withdrawal) or terminate
benefit or Contract
 
•   Withdrawals under the
optional benefits,
including Guaranteed
Annual Withdrawal
Amounts, are subject to
the surrender charge
rules
 
•   Subsequent Purchase
Payments are not
permitted during the
Withdrawal Phase, which
means that the Purchase
Payments cannot be
used at that time to
increase Contract Value,
the death benefit or the
Accumulation Income
Benefit Base
 
•   You may not allocate to
the Short-Term Fixed
Account
 
 
 
 
 
Guaranteed
Income Rider
  
Provides lifetime or standard
income as a percent of the
Guaranteed Income Benefit
Base, which is adjusted for
guaranteed growth and market
Step-Ups to lock in the positive
market performance
  
Optional
  
2"
261,Termination,0.419,3,"00% (as a
percentage
of the
benefit
base)
  
•   Available only at Contract
purchase
 
•   Withdrawals, including
RMDs, could significantly
reduce (perhaps by more
than the amount of the
withdrawal) or terminate
benefit or Contract
 
•   Withdrawals under the
optional benefits,
including Guaranteed
Annual Withdrawal
Amounts, are subject to
the surrender charge
rules
 
•   You may not allocate to
the Short-Term Fixed
Account
 
14
 
 
 
 
 
Name of Benefit
  
Purpose
  
Is Benefit
Standard or    
Optional
  
Maximum
Fee
  
Brief Description of
Restrictions/Limitations
 
 
 
 
 
Guaranteed
Minimum
Accumulation
Rider
  
Provides a guaranteed minimum
Contract Value at the end of the
benefit period selected with the
possibility of resetting the benefit
period periodically
  
Optional
  
1"
262,Warranty,0.348,2,"50% (as a
percentage
of the
benefit
base)
  
•   Available only at Contract
purchase
 
•   Withdrawals, including
RMDs, could significantly
reduce (perhaps by more
than the amount of the
withdrawal) or terminate
benefit or Contract
 
•   You may not allocate to
the Short-Term Fixed
Account
 
•   Purchase Payments
made after the first 12
months of the
Accumulation Benefit
Period will not be
included in the
Accumulation Benefit
Base"
263,Warranty,0.414,2,"Any additional
Purchase Payments
made after the first 12
months will increase the
Contract Value but not
the Accumulation Benefit
Base and may reduce the
likelihood of receiving the
benefit provided by the
Rider
 
 
 
 
 
Dollar Cost
Averaging
Program
  
Allows you to transfer amounts
automatically from a Fixed Dollar
Cost Averaging Option to
Variable Investment Option(s) so
that the cost of the securities is
averaged over time
  
Optional
  
No
additional
charge
  
•   Must have a Contract
Value of at least $10,000
 
•   Minimum transfer amount
must be at least $50
 
•   Only new Purchase
Payments may be
allocated to the Fixed
Dollar Cost Averaging
Options
 
•   Dollar cost averaging and
automatic asset
rebalancing may not be
elected at the same time
 
 
 
 
 
Automatic Asset
Rebalancing
Program
  
Automatically reallocates your
Contract Value among the
Variable Investment Options in
accordance with the proportions
you originally selected
  
Optional
  
No
additional
charge
  
•   Must have a Contract
Value of at least $10,000
 
•   Dollar cost averaging and
automatic asset
rebalancing may not be
elected at the same time
Subject to the Company’s right to discontinue or suspend the offering of optional benefits for new sales from
time to time, you can purchase the optional benefits described above in addition to your Base Contract"
264,Warranty,0.377,2,"There is an
additional fee for certain of the optional benefits"
265,Termination,0.437,3,"Combining Optional Benefits
You may elect the Enhanced Death Benefit Rider with the Accumulation Income Rider, the Guaranteed
Income Rider, or the Guaranteed Minimum Accumulation Rider"
266,Termination,0.339,3,No other combinations of Riders are permitted
267,Warranty,0.314,2,You may not elect Automatic Asset Rebalancing and Dollar Cost Averaging at the same time
268,Warranty,0.321,2,"BUYING THE DEFERRED VARIABLE ANNUITY CONTRACT
Your financial professional will assist you in completing an application and sending it with a check for your
first Purchase Payment, to our Administrative Office"
269,Warranty,0.301,2,"We accept a complete application to purchase a Contract within two business days after we receive it at our
Administrative Office"
270,Warranty,0.776,2,"If you send us an incomplete application, we will return your Purchase Payment to you within five
business days unless you ask us to keep it while you complete the application"
271,Payment Terms,0.35,2,"All Subsequent Purchase Payments should be sent to the address specified in “How Do I Communicate
With PIA — Contact Information"
272,Indemnification,0.474,3,"”
We reserve the right to limit, suspend, or reject any additional Purchase Payment at any time, but
would do so only on a non-discriminatory basis"
273,Termination,0.369,3,"15
Purchase Payment Requirements
Minimum Purchase Payment
The Contract will not be issued until PIA has received the minimum payment required to open the Contract"
274,Warranty,0.52,2,The table below summarizes the minimum initial and Subsequent Purchase Payment requirements by market type
275,Payment Terms,0.508,2,"Market Type
  Payment Type
  
                         
Non-Qualified / Traditional Stretch IRA /
Roth Stretch IRA
  Minimum Initial Purchase Payment
  
$2,000
  Minimum Subsequent Purchase Payment
 
  
$1,000
 
Traditional IRA / Roth IRA / SEP IRA /
Simple IRA / ERISA Defined Benefit Plan1
  Minimum Initial Purchase Payment
  
$1,0002
  Minimum Subsequent Purchase Payment
  
$2503
 
 
  1
ERISA Defined Benefit Plans must be approved by the Advanced Sales Department prior to opening"
276,Payment Terms,0.214,2,"2
For approved qualified employer-sponsored plans (SEP IRA, Simple IRA, or ERISA Defined Benefit Plan) funding the annuity through payroll
deduction or on-going employer contributions, Initial Purchase Payment requirement must be satisfied by Purchase Payments made in the first
Contract Year"
277,Warranty,0.523,2,"The Contract will be terminated if the Minimum Initial Purchase Payment is not satisfied within 12 months of the issue
date of your Contract, and all Purchase Payments made to date (adjusted for withdrawals) will be returned to you"
278,Warranty,0.479,2,"The amount of Net
Purchase Payments to be refunded will not be adjusted for market gains or losses incurred during this period"
279,Warranty,0.481,2,"3
If SEP IRA, Simple IRA, or ERISA Defined Benefit Plan market types are elected at issue, the minimum Subsequent Purchase Payment is
$250 annually, and $25 per payment minimum under the automatic investment program"
280,Payment Terms,0.367,2,"Maximum Purchase Payment
We will accept up to $2,000,000 in cumulative Purchase Payments"
281,Indemnification,0.219,3,"This limit applies across all variable
annuity contracts issued by the Company and its affiliates for the same Contract Owner (if natural person) or Annuitant"
282,Warranty,0.274,2,We reserve the right to change the amount of cumulative Purchase Payments we will accept
283,Indemnification,0.318,3,"In addition, we reserve
the right to reject any Purchase Payment at any time for any reason"
284,Warranty,0.64,2,"Allocation of Initial and Subsequent Purchase Payments
Your Initial and Subsequent Purchase Payments will be allocated to the Variable Investment Options and to
the Fixed Account Options as you specify in the application for the Contract, unless you direct that the Subsequent
Purchase Payments be allocated otherwise (subject to the limitations with the presence of an optional benefit)"
285,Termination,0.278,3,Subsequent Purchase Payments may be made at any time without prior notice to the Company
286,Warranty,0.612,2,"All Purchase
Payments are subject to the minimum and maximum amount limitations"
287,Warranty,0.493,2,"Allocation of payments may be subject to
limitations if any optional benefits are present"
288,Indemnification,0.318,3,"In addition, we reserve the right to reject any Purchase Payment at any
time for any reason"
289,Warranty,0.672,2,"Owner/Annuitant Requirements
You must specify the Owner and Annuitant information at the time of application, and the name(s) of
Owner(s) and Annuitant(s) that you specify will be displayed on your Contract Specifications Page"
290,Indemnification,0.689,3,"Designation of
Contract Owner(s) and Annuitant(s) will be effective on the Contract Date"
291,Indemnification,0.705,3,"•
  No more than two natural persons may be named in the Contract as Owner(s) and/or Annuitant(s)"
292,Indemnification,0.732,3,"•
  If you are the sole Owner of the Contract, you may designate yourself as an Annuitant, or an
Annuitant other than yourself"
293,Indemnification,0.409,3,"However, if you designate Joint Annuitants, you must be one of the
Annuitants"
294,Indemnification,0.256,3,"•
  If your Contract is owned by an entity, joint ownership is not permitted, and there can only be one
Annuitant"
295,Indemnification,0.575,3,"•
  If your Contract is jointly owned, both Contract Owners must be natural persons"
296,Indemnification,0.509,3,"If the Contract is
jointly owned and there is one Annuitant, he/she must be a Contract Owner"
297,Indemnification,0.594,3,"If the Contract is jointly
owned and there are Joint Annuitants, Annuitants must be the Contract Owners"
298,Indemnification,0.507,3,"16
 
•
  If you are not the Annuitant, you can designate yourself as Contingent Annuitant in the Contract,
and become the Annuitant in the event that the Annuitant dies before the Contract is terminated or
annuitized"
299,Indemnification,0.435,3,"•
  If you purchase an optional benefit in addition to your Base Contract, additional Contract
Owner/Annuitant requirements may apply"
300,Warranty,0.25,2,"Issue Age Requirements
Issue age represented in the Contract is based on the age of the Owner and is determined by Age Nearest
Birthday"
301,Intellectual Property,0.922,1,Age Nearest Birthday is the age rounded to nearest whole number of years
302,Indemnification,0.392,3,"If the Contract is jointly owned,
both Owners must meet the issue age requirements"
303,Indemnification,0.486,3,"If the Owner is an entity, then the issue age represented in the
Contract is based on the age of the Annuitant(s)"
304,Indemnification,0.755,3,Annuitant(s) must also meet the issue age requirements of the Contract
305,Termination,0.367,3,"If you have not elected any available optional benefits under your Contract, the issue age requirement is
0-85"
306,Warranty,0.496,2,"If you wish to elect any available optional benefit, the issue age requirements may be different from the
requirement noted above"
307,Payment Terms,0.249,2,"Please see “Issue Age Requirements” subsection of the appropriate optional benefit section
that applies to you"
308,Warranty,0.33,2,"If you have an optional benefit, you will be subject to the strictest age requirement of your Base
Contract Option/optional benefit combination"
309,Termination,0.286,3,"Tax Free “Section 1035” Insurance Contract Exchanges
Generally, you can exchange one annuity contract for another in a “tax-free exchange” under Section 1035
of the Code"
310,Warranty,0.293,2,"Before making an exchange, you should compare both contracts carefully"
311,Termination,0.351,3,"Remember that if you
exchange another contract for the one described in this Summary Prospectus, you might have to pay a Surrender
Charge on your old contract"
312,Termination,0.385,3,"Also, some charges may be higher (or lower), and the benefits may be different"
313,Confidentiality,0.381,1,"If the
exchange does not qualify for Section 1035 treatment, you may have to pay federal income and penalty taxes as a
result of the exchange"
314,Indemnification,0.37,3,"You should not exchange another contract for this one unless you determine, after knowing all
of the facts, that the exchange is in your best interest"
315,Warranty,0.758,2,"The Surrender Value of your existing contract may be impacted by increases or decreases in contract values
that result from market fluctuations during the period between submission of the exchange request and actual
processing"
316,Warranty,0.651,2,"The Surrender Value may be calculated (by the existing contract issuer) sometime after we receive your
exchange request in good order"
317,Indemnification,0.355,3,"In addition, as we will not issue the new contract until we have received an initial
premium from your existing insurance company, the issuance of the contract in an exchange could be delayed"
318,Warranty,0.785,2,"The Variable Account Value
Your assets in the Separate Account are held as Accumulation Units of the Variable Investment Options that
you select"
319,Warranty,0.423,2,"An Accumulation Unit is a unit of measure used to compute the Variable Account Value under the Contract
prior to the Annuity Date"
320,Warranty,0.624,2,"The Variable Account Value is the sum of the values of the Accumulation Units held in the
Variable Investment Options for this Contract"
321,Warranty,0.285,2,"Accumulation Units — Valuation
We value Accumulation Units as of the close of regular trading on the NYSE (generally, 4:00 p"
322,Warranty,0.669,2,"When
you invest in, withdraw from, or transfer money to a Variable Investment Option, you receive the Accumulation Unit
value next computed after we receive your Purchase Payment or your withdrawal or transfer request at our
Administrative Office"
323,Warranty,0.381,2,"Allocation, withdrawal, and transfer instructions received from you or the agent of record
(pursuant to your instruction) at our Administrative Office after the close of regular trading on the NYSE will be valued
based on the Accumulation Unit value computed as of the close of regular trading on the next NYSE business day"
324,Warranty,0.632,2,"In
the case of your first Purchase Payment, you receive the price next computed after we accept your application to
purchase a Contract"
325,Warranty,0.707,2,"The value of an Accumulation Unit varies and is determined by multiplying its last computed value by the net
investment factor for the Variable Investment Option for the current Valuation Period"
326,Warranty,0.49,2,"The net investment factor
measures (1) investment performance of Portfolio shares held in the Variable Investment Option, (2) any taxes on
income or gains from investments held in the Variable Investment Option, and (3) the Base Contract expenses
assessed against the Variable Investment Option"
327,Warranty,0.565,2,"Therefore, the investment performance of the Portfolios, expenses
and deduction of certain charges will affect the Accumulation Unit value and the number of Accumulation Units"
328,Warranty,0.265,2,"17
The Fixed Account Value
The Fixed Account Value is determined by the total amount of Purchase Payments allocated to the Fixed
Account Options, adjusted by partial withdrawals, transfers, charges and expenses, and accumulated at effective
annual rates declared by the Company, but at no less than the Minimum Guaranteed Interest Rate as described in
Appendix B and specified in your Contract"
329,Warranty,0.725,2,"Contract Value
Your Contract Value is the sum of the Variable Account Value and the Fixed Account Value"
330,Warranty,0.56,2,"Variable Account
Value is the sum of the values of the Accumulation Units held in the Variable Investment Options"
331,Warranty,0.536,2,"Fixed Account Value
is the value of amounts held in all Fixed Account Options (Short-Term Fixed Account and Fixed Dollar Cost Averaging
Options) of the Fixed Account for this Contract"
332,Warranty,0.568,2,"MAKING WITHDRAWALS: ACCESSING THE MONEY IN YOUR DEFERRED VARIABLE ANNUITY CONTRACT
How Can I Withdraw Money from the Deferred Variable Annuity Contract?
General Information on Surrenders and Withdrawals
You may access your Contract Value in one of the following ways:
 
 
•
  by surrendering your Contract and receiving the Surrender Value;
 
 
•
  by taking a partial withdrawal;
 
 
•
  by taking systematic withdrawals;
 
 
•
  by taking RMDs; or
 
 
•
  when you start the annuity payments based on your Contract Value"
333,Warranty,0.397,2,"Before the end of the Surrender Charge Period, you can access a portion of the money in the Contract each
Contract Year without being assessed a Surrender Charge"
334,Warranty,0.434,2,"This is called a Free Withdrawal Amount (see “Surrender-
Charge Free Withdrawals” above)"
335,Warranty,0.338,2,"However, if you decide to withdraw more than the Free Withdrawal Amount or
surrender the Contract during the Surrender Charge Period, you may be assessed a Surrender Charge, as further
described above"
336,Warranty,0.301,2,"Withdrawals will reduce the Contract Value and may have a negative impact on certain optional living
benefits and on the death benefit, and the impact could be significant"
337,Termination,0.279,3,"A withdrawal may reduce or even terminate
certain benefits"
338,Termination,0.374,3,"See “What Are the Supplemental Riders and Benefits That Are Available?”
You may also be subject to tax in the tax year in which you take a withdrawal from your Contract, including a
10% penalty tax under certain circumstances"
339,Governing Law,0.325,1,"See “How Is the Contract Treated Under Federal Income Tax Law?” for
details"
340,Indemnification,0.448,3,"Full Surrender
You can choose to surrender your Contract for its Surrender Value at any time before the death of the
Contract Owner or Annuitant, and on or before the Annuity Date by sending a written request to our Administrative
Office"
341,Indemnification,0.395,3,"Upon your request to surrender the Contract, all benefits under the Contract, including any optional benefits, will
terminate as of the date of receipt of your written request by the Company"
342,Warranty,0.349,2,"You will receive the Surrender Value, which
is your Contract Value reduced by any applicable charges, such as: Surrender Charge, Rider Charges, and Annual
Contract Administration Charge"
343,Warranty,0.317,2,"We base your Surrender Value on your Contract Value next determined after we
receive proper authorization from the Contract Owner at our Administrative Office"
344,Indemnification,0.609,3,"18
We guarantee that upon full surrender, your Surrender Value attributable to the Fixed Accounts will not be
less than the amount required by the applicable state nonforfeiture law at the time the Contract is issued"
345,Indemnification,0.628,3,"Withdrawals Treated as Surrenders
In some circumstances, we reserve the right to treat your withdrawal as a full surrender, or to initiate a
payment of the Surrender Value to you"
346,Termination,0.734,3,This will cause your Contract and any optional benefits to terminate
347,Warranty,0.422,2,"The following withdrawals will be treated as full surrenders:
 
 
•
  Any withdrawal initiated by your request or deduction of fees or charges by the Company that brings
the Contract Value to zero (unless the Guaranteed Income Rider or the Accumulation Income Rider
is present),
 
 
•
  Any withdrawal that would result in the amount remaining in the Contract to be less than the
Minimum Remaining Balance of $2,000, or less than $250 remains in each Variable Investment
Option or Short-Term Fixed Account"
348,Force Majeure,0.197,1,"These rules do not apply to RMDs, Lifetime Withdrawals taken
under the Accumulation Income Rider, or living benefit withdrawals taken under the Guaranteed
Income Rider"
349,Warranty,0.712,2,"Withdrawal requests that would cause the Contract Value to reduce to zero or fall below the Minimum
Remaining Balance will not be processed"
350,Warranty,0.579,2,"You will have the option of processing a full surrender or cancelling your
withdrawal request"
351,Termination,0.429,3,"If the Contract Value is reduced to zero as a result of deduction of fees or charges by the
Company, the Contract will be terminated as of the date of deduction and notification of termination will be made to the
Contract Owner"
352,Indemnification,0.332,3,"We also reserve the right to terminate the Contract and any applicable Death Benefit by initiating a payment
of the Surrender Value to you, if there is no Purchase Payment activity during the two most recent Contract Years, and
the Contract Value is less than the Minimum Remaining Balance specified above"
353,Warranty,0.405,2,"The Company will notify the Contract Owner 60 days prior to terminating the Contract, by sending a notice to
the Contract Owner’s address on file"
354,Payment Terms,0.581,2,A second notice will be sent 30 days prior to the date of termination
355,Termination,0.509,3,"If no action
is taken by the Contract Owner to increase the Contract Value to the required minimum, the Contract will be terminated
by the Company and the Surrender Value will be paid to the Contract Owner"
356,Indemnification,0.272,3,"Partial Withdrawal
You may take a partial withdrawal from your Contract Value on or before the Annuity Date and the death of
the Contract Owner or Annuitant"
357,Warranty,0.298,2,"We base your withdrawal on your Contract Value next determined after we receive
proper authorization from the Contract Owner at our Administrative Office"
358,Indemnification,0.602,3,"We will pay you within seven days, except in
limited circumstances"
359,Payment Terms,0.337,2,"Please see “Deferment of Payments and Transfers” for more information on these limited
circumstances"
360,Indemnification,0.228,3,You may pay a Surrender Charge when you withdraw part of your Contract Value
361,Governing Law,0.323,1,"See the “Surrender
Charge” paragraph under “What Are the Fees and Charges Under the Contract?” for details"
362,Termination,0.248,3,"You may be subject to tax
in the tax year in which you make a withdrawal, including an additional 10% tax under certain circumstances"
